local_ts_ms,recv_iso_utc,msg_ts_ms,event_type,bid_price,bid_qty,ask_price,ask_qty,change,trade_price,trade_size,trade_side,trade_tx_hash
1772368992943,2026-03-01T12:43:12.943+00:00,1772368992932,price_change,0.6,100.0,0.61,804.41,,,,,
1772368992943,2026-03-01T12:43:12.943+00:00,1772368992932,book,0.6,100.0,0.61,804.41,,,,,
1772368992945,2026-03-01T12:43:12.945+00:00,1772368992933,price_change,0.6,100.0,0.61,804.41,,,,,
1772368992952,2026-03-01T12:43:12.952+00:00,1772368992942,price_change,0.6,100.0,0.61,804.41,,,,,
1772368992954,2026-03-01T12:43:12.954+00:00,1772368992944,price_change,0.6,100.0,0.61,804.41,,,,,
1772368992964,2026-03-01T12:43:12.964+00:00,1772368992953,best_bid_ask,0.6,100.0,0.61,804.41,no_change,,,,
1772368992964,2026-03-01T12:43:12.964+00:00,1772368992953,price_change,0.6,100.0,0.61,802.41,,,,,
1772368992964,2026-03-01T12:43:12.964+00:00,1772368992953,book,0.6,100.0,0.61,802.41,,,,,
1772368992983,2026-03-01T12:43:12.983+00:00,1772368992967,best_bid_ask,0.6,100.0,0.61,802.41,no_change,,,,
1772368992983,2026-03-01T12:43:12.983+00:00,1772368992966,price_change,0.6,100.0,0.61,798.6,,,,,
1772368992984,2026-03-01T12:43:12.984+00:00,1772368992966,book,0.6,100.0,0.61,798.6,,,,,
1772368992991,2026-03-01T12:43:12.991+00:00,1772368992981,best_bid_ask,0.59,5.0,0.61,798.6,bid_change,,,,
1772368992991,2026-03-01T12:43:12.991+00:00,1772368992981,price_change,0.59,5.0,0.61,798.6,,,,,
1772368992992,2026-03-01T12:43:12.992+00:00,1772368992980,last_trade_price,0.59,5.0,0.61,798.6,,0.61,2.803277,BUY,0x5b25cb2dbcddbcafd99e55a176a86860a9b558153c6846b345138dbfe5cd6014
1772368992993,2026-03-01T12:43:12.993+00:00,1772368992982,last_trade_price,0.59,5.0,0.61,798.6,,0.61,2.0,BUY,0x273a2e139d5cc0f5f78a915fc5cfeba32022062819f381b5bf77ad1bca86b081
1772368992999,2026-03-01T12:43:12.999+00:00,1772368992989,best_bid_ask,0.59,5.0,0.61,798.6,no_change,,,,
1772368993000,2026-03-01T12:43:13.000+00:00,1772368992988,price_change,0.59,5.0,0.61,796.22,,,,,
1772368993001,2026-03-01T12:43:13.001+00:00,1772368992988,book,0.59,5.0,0.61,796.22,,,,,
1772368993014,2026-03-01T12:43:13.014+00:00,1772368993001,price_change,0.59,5.0,0.6,20.0,,,,,
1772368993014,2026-03-01T12:43:13.014+00:00,1772368993002,best_bid_ask,0.59,5.0,0.6,20.0,ask_change,,,,
1772368993015,2026-03-01T12:43:13.015+00:00,1772368993004,price_change,0.59,5.0,0.6,110.0,,,,,
1772368993016,2026-03-01T12:43:13.016+00:00,1772368993005,price_change,0.59,5.0,0.6,130.0,,,,,
1772368993017,2026-03-01T12:43:13.017+00:00,1772368993006,price_change,0.59,5.0,0.6,130.0,,,,,
1772368993017,2026-03-01T12:43:13.017+00:00,1772368993007,price_change,0.59,5.0,0.6,130.0,,,,,
1772368993018,2026-03-01T12:43:13.018+00:00,1772368993008,price_change,0.59,5.0,0.6,130.0,,,,,
1772368993018,2026-03-01T12:43:13.018+00:00,1772368993008,price_change,0.59,5.0,0.6,165.72,,,,,
1772368993021,2026-03-01T12:43:13.021+00:00,1772368993010,price_change,0.59,5.0,0.6,187.72,,,,,
1772368993022,2026-03-01T12:43:13.022+00:00,1772368993011,price_change,0.59,5.0,0.6,227.72,,,,,
1772368993022,2026-03-01T12:43:13.022+00:00,1772368993011,price_change,0.59,5.0,0.6,227.72,,,,,
1772368993023,2026-03-01T12:43:13.023+00:00,1772368993012,price_change,0.59,5.0,0.6,227.72,,,,,
1772368993023,2026-03-01T12:43:13.023+00:00,1772368993013,price_change,0.59,5.0,0.6,247.72,,,,,
1772368993023,2026-03-01T12:43:13.023+00:00,1772368993014,price_change,0.59,5.0,0.6,292.72,,,,,
1772368993031,2026-03-01T12:43:13.031+00:00,1772368993021,best_bid_ask,0.59,5.0,0.6,292.72,no_change,,,,
1772368993032,2026-03-01T12:43:13.032+00:00,1772368993020,price_change,0.59,5.0,0.6,289.07,,,,,
1772368993032,2026-03-01T12:43:13.032+00:00,1772368993020,book,0.59,5.0,0.6,289.07,,,,,
1772368993034,2026-03-01T12:43:13.034+00:00,1772368993021,price_change,0.59,5.0,0.6,309.07,,,,,
1772368993034,2026-03-01T12:43:13.034+00:00,1772368993022,price_change,0.59,5.0,0.6,329.07,,,,,
1772368993034,2026-03-01T12:43:13.034+00:00,1772368993021,last_trade_price,0.59,5.0,0.6,329.07,,0.61,2.377048,BUY,0xc23f5899dce4d22e910d6cef7221df7b64ea6a99ebb2b6e80a5268153812a012
1772368993034,2026-03-01T12:43:13.034+00:00,1772368993023,price_change,0.59,5.0,0.6,334.07,,,,,
1772368993047,2026-03-01T12:43:13.047+00:00,1772368993036,price_change,0.59,5.0,0.6,339.07,,,,,
1772368993049,2026-03-01T12:43:13.049+00:00,1772368993038,last_trade_price,0.59,5.0,0.6,339.07,,0.61,3.803277,BUY,0x225988d3c6daa73175d3292f4000ded8100af8f73db88eb86c45c44909ae248a
1772368993049,2026-03-01T12:43:13.049+00:00,1772368993039,price_change,0.59,5.0,0.6,339.07,,,,,
1772368993058,2026-03-01T12:43:13.058+00:00,1772368993047,price_change,0.59,5.0,0.6,359.07,,,,,
1772368993065,2026-03-01T12:43:13.065+00:00,1772368993054,last_trade_price,0.59,5.0,0.6,359.07,,0.6,3.65,BUY,0x85e87d6e12f0add6af824133bcc81cb4f22e90e032d526fb70ec3e8eb323da55
1772368993071,2026-03-01T12:43:13.071+00:00,1772368993061,price_change,0.59,5.0,0.6,480.07,,,,,
1772368993090,2026-03-01T12:43:13.090+00:00,1772368993080,price_change,0.59,5.0,0.6,480.07,,,,,
1772368993109,2026-03-01T12:43:13.109+00:00,1772368993099,price_change,0.59,5.0,0.6,480.07,,,,,
1772368993128,2026-03-01T12:43:13.128+00:00,1772368993106,price_change,0.59,5.0,0.6,480.07,,,,,
1772368993128,2026-03-01T12:43:13.128+00:00,1772368993108,price_change,0.59,5.0,0.6,500.07,,,,,
1772368993128,2026-03-01T12:43:13.128+00:00,1772368993115,price_change,0.59,5.0,0.6,500.07,,,,,
1772368993143,2026-03-01T12:43:13.143+00:00,1772368993130,price_change,0.59,5.0,0.6,464.35,,,,,
1772368993146,2026-03-01T12:43:13.146+00:00,1772368993135,price_change,0.59,5.0,0.6,537.05,,,,,
1772368993146,2026-03-01T12:43:13.146+00:00,1772368993136,price_change,0.59,5.0,0.6,537.05,,,,,
1772368993180,2026-03-01T12:43:13.180+00:00,1772368993169,price_change,0.59,5.0,0.6,537.05,,,,,
1772368993278,2026-03-01T12:43:13.278+00:00,1772368993262,price_change,0.59,5.0,0.6,450.7,,,,,
1772368993280,2026-03-01T12:43:13.280+00:00,1772368993268,price_change,0.59,5.0,0.6,450.7,,,,,
1772368993281,2026-03-01T12:43:13.281+00:00,1772368993269,price_change,0.59,5.0,0.6,450.7,,,,,
1772368993287,2026-03-01T12:43:13.287+00:00,1772368993271,price_change,0.59,5.0,0.6,378.0,,,,,
1772368993347,2026-03-01T12:43:13.347+00:00,1772368993331,best_bid_ask,0.59,5.0,0.6,378.0,no_change,,,,
1772368993347,2026-03-01T12:43:13.347+00:00,1772368993329,price_change,0.59,5.0,0.6,368.0,,,,,
1772368993347,2026-03-01T12:43:13.347+00:00,1772368993329,book,0.59,5.0,0.6,368.0,,,,,
1772368993352,2026-03-01T12:43:13.352+00:00,1772368993337,best_bid_ask,0.59,5.0,0.6,368.0,no_change,,,,
